Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,8/28/2024,,,,,,,,
Time:,1:41:24 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
B2,0.0843999981880188,0.0865999981760979,0.0864000022411346,0.0860999971628189,0.0861999988555908,0.0860999971628189,0.0860999971628189,0.0860000029206276,0.0861999988555908
B3,0.0848999992012978,0.0864000022411346,0.0861999988555908,0.0857999995350838,0.0861999988555908,0.0861999988555908,0.0857999995350838,0.0857999995350838,0.0860000029206276
B4,0.0850000008940697,0.086499996483326,0.0863000005483627,0.0860000029206276,0.0861999988555908,0.0863000005483627,0.0860999971628189,0.0859000012278557,0.0863000005483627
B5,0.0842999964952469,0.086499996483326,0.0861999988555908,0.0860999971628189,0.0860999971628189,0.0860000029206276,0.0861999988555908,0.0861999988555908,0.0860000029206276
B6,0.0847000032663345,0.0863000005483627,0.0860000029206276,0.0857999995350838,0.0860000029206276,0.0857999995350838,0.0859000012278557,0.0857999995350838,0.0859000012278557
B7,0.0838999971747398,0.0863000005483627,0.0860000029206276,0.0863000005483627,0.0859000012278557,0.0856999978423119,0.0864000022411346,0.0861999988555908,0.0856999978423119
B8,0.0857999995350838,0.0872000008821487,0.0870999991893768,0.0865999981760979,0.0869000032544136,0.0869999974966049,0.086499996483326,0.0864000022411346,0.0869999974966049
B9,0.0842000022530556,0.0868000015616417,0.0864000022411346,0.0863000005483627,0.0864000022411346,0.0863000005483627,0.0863000005483627,0.0861999988555908,0.0863000005483627
B10,0.0848999992012978,0.0888999998569489,0.088299997150898,0.0899000018835068,0.0890000015497208,0.0899000018835068,0.087399996817112,0.087399996817112,0.0899000018835068
B11,0.0848999992012978,0.0864000022411346,0.0861999988555908,0.0860999971628189,0.0860999971628189,0.0860000029206276,0.0861999988555908,0.0860000029206276,0.0860000029206276
C2,0.166899994015694,0.158099994063377,0.156299993395805,0.155599996447563,0.155300006270409,0.156599998474121,0.159199997782707,0.163599997758865,0.170200005173683
C3,0.153999999165535,0.158800005912781,0.156900003552437,0.156900003552437,0.160500004887581,0.16779999434948,0.180899992585182,0.201700001955032,0.233700007200241
C4,0.156100004911423,0.158399999141693,0.156100004911423,0.155399993062019,0.157000005245209,0.160500004887581,0.166600003838539,0.177200004458427,0.193399995565414
C5,0.162200003862381,0.177100002765656,0.167899996042252,0.170100003480911,0.170000001788139,0.177699998021126,0.19030000269413,0.210500001907349,0.242300003767014
C6,0.159099996089935,0.169200003147125,0.166299998760223,0.165000006556511,0.167099997401238,0.173199996352196,0.183799996972084,0.201100006699562,0.226699993014336
C7,0.127900004386902,0.132400006055832,0.133000001311302,0.134399995207787,0.136899992823601,0.140300005674362,0.145199999213219,0.152500003576279,0.163699999451637
C8,0.150299996137619,0.149599999189377,0.149100005626678,0.152500003576279,0.161200001835823,0.176100000739098,0.200100004673004,0.236900001764297,0.288199990987778
C9,0.157800003886223,0.156900003552437,0.156499996781349,0.159400001168251,0.167199999094009,0.1807000041008,0.202500000596046,0.237100005149841,0.283399999141693
C10,0.145799994468689,0.147799998521805,0.147100001573563,0.148900002241135,0.154799997806549,0.164900004863739,0.181099995970726,0.205899998545647,0.240799993276596
C11,0.137199997901917,0.135900005698204,0.135399997234344,0.137899994850159,0.143800005316734,0.152799993753433,0.165800005197525,0.185000002384186,0.21170000731945
D2,0.164299994707108,0.158299997448921,0.156499996781349,0.156200006604195,0.158399999141693,0.164399996399879,0.175500005483627,0.192100003361702,0.217199996113777
D3,0.157199993729591,0.160500004887581,0.158000007271767,0.157800003886223,0.160999998450279,0.168300002813339,0.181199997663498,0.202299997210503,0.232400000095367
D4,0.169200003147125,0.164000004529953,0.162300005555153,0.163499996066093,0.169400006532669,0.179399996995926,0.196899995207787,0.224299997091293,0.267199993133545
D5,0.164700001478195,0.168699994683266,0.165800005197525,0.165500000119209,0.169200003147125,0.17739999294281,0.191499993205071,0.212899997830391,0.244800001382828
D6,0.165500000119209,0.171399995684624,0.169200003147125,0.16889999806881,0.171299993991852,0.177699998021126,0.18860000371933,0.205599993467331,0.230800002813339
D7,0.146999999880791,0.14640000462532,0.146599993109703,0.149499997496605,0.156700000166893,0.167899996042252,0.186800003051758,0.215499997138977,0.257200002670288
D8,0.149299994111061,0.146300002932549,0.146300002932549,0.150199994444847,0.159199997782707,0.174199998378754,0.19709999859333,0.230199992656708,0.276600003242493
D9,0.146599993109703,0.145199999213219,0.144299998879433,0.145999997854233,0.150999993085861,0.158399999141693,0.169900000095367,0.186000004410744,0.209700003266335
D10,0.142700001597404,0.142399996519089,0.141299992799759,0.14300000667572,0.147200003266335,0.153799995779991,0.164199993014336,0.179100006818771,0.200200006365776
D11,0.14300000667572,0.140499994158745,0.140400007367134,0.143500000238419,0.150900006294251,0.162000000476837,0.179499998688698,0.204999998211861,0.241200000047684
E2,0.165999993681908,0.157700002193451,0.155900001525879,0.155399993062019,0.156399995088577,0.159799993038178,0.166299998760223,0.175799995660782,0.191200003027916
E3,0.155499994754791,0.159600004553795,0.160099998116493,0.158199995756149,0.162499994039536,0.170900002121925,0.184799998998642,0.206699997186661,0.241799995303154
E4,0.167600005865097,0.164299994707108,0.160300001502037,0.158999994397163,0.164900004863739,0.168799996376038,0.181099995970726,0.196199998259544,0.224000006914139
E5,0.171000003814697,0.172700002789497,0.171100005507469,0.167699992656708,0.172000005841255,0.17509999871254,0.188700005412102,0.201800003647804,0.229900002479553
E6,0.163200005888939,0.168200001120567,0.165199995040894,0.164499998092651,0.166400000452995,0.172499999403954,0.182099997997284,0.197200000286102,0.218899995088577
E7,0.150800004601479,0.150000005960464,0.149700000882149,0.151800006628037,0.157800003886223,0.168999999761581,0.187900006771088,0.216999992728233,0.258100003004074
E8,0.156700000166893,0.152899995446205,0.152099996805191,0.154599994421005,0.162300005555153,0.175899997353554,0.198599994182587,0.234200000762939,0.284900009632111
E9,0.157199993729591,0.156299993395805,0.155300006270409,0.157600000500679,0.165000006556511,0.17849999666214,0.201100006699562,0.23649999499321,0.285699993371964
E10,0.146300002932549,0.147499993443489,0.147200003266335,0.150000005960464,0.158500000834465,0.173700004816055,0.199000000953674,0.237100005149841,0.288500010967255
E11,0.14190000295639,0.139599993824959,0.13910000026226,0.142000004649162,0.149399995803833,0.161200001835823,0.179800003767014,0.207399994134903,0.244800001382828
F2,0.158700004220009,0.155699998140335,0.153999999165535,0.153300002217293,0.154100000858307,0.157100006937981,0.16329999268055,0.172399997711182,0.186199992895126
F3,0.160799995064735,0.156000003218651,0.153899997472763,0.154699996113777,0.157600000500679,0.163000002503395,0.171499997377396,0.186100006103516,0.208599999547005
F4,0.175200000405312,0.163800001144409,0.163499996066093,0.167600005865097,0.177300006151199,0.192499995231628,0.218600004911423,0.25780001282692,0.303299993276596
F5,0.171299993991852,0.168300002813339,0.165700003504753,0.165800005197525,0.170399993658066,0.179100006818771,0.194600000977516,0.217099994421005,0.250699996948242
F6,0.154799997806549,0.165800005197525,0.164199993014336,0.165900006890297,0.173299998044968,0.185499995946884,0.206400007009506,0.237900003790855,0.284700006246567
