Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,9/24/2024,,,,,,,,
Time:,11:29:26 AM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
C11,0.146500006318092,0.141800001263618,0.150800004601479,0.171100005507469,0.20890000462532,0.261900007724762,0.322100013494492,0.388099998235703,0.463400006294251
D2,0.132400006055832,0.148000001907349,0.154200002551079,0.164599999785423,0.181799992918968,0.209000006318092,0.248799994587898,0.302199989557266,0.361799985170364
D3,0.149900004267693,0.166199997067451,0.168799996376038,0.175200000405312,0.186800003051758,0.205400004982948,0.233199998736382,0.276399999856949,0.331699997186661
D4,0.152999997138977,0.170499995350838,0.174300000071526,0.182199999690056,0.196700006723404,0.218299999833107,0.250699996948242,0.295300006866455,0.348100006580353
D5,0.151199996471405,0.17960000038147,0.179499998688698,0.184499993920326,0.196700006723404,0.216499999165535,0.248400002717972,0.291599988937378,0.346799999475479
D6,0.134399995207787,0.156499996781349,0.16159999370575,0.170699998736382,0.187299996614456,0.213100001215935,0.254299998283386,0.305200010538101,0.36259999871254
D7,0.141800001263618,0.147400006651878,0.152899995446205,0.158800005912781,0.170900002121925,0.185499995946884,0.209700003266335,0.241699993610382,0.282400012016296
D8,0.147499993443489,0.155799999833107,0.162300005555153,0.174199998378754,0.192300006747246,0.219500005245209,0.257600009441376,0.30799999833107,0.356000006198883
D9,0.143500000238419,0.150800004601479,0.158099994063377,0.171499997377396,0.196700006723404,0.235200002789497,0.287600010633469,0.342700004577637,0.402999997138977
D10,0.145400002598763,0.149000003933907,0.156399995088577,0.172399997711182,0.200699999928474,0.245000004768372,0.300700008869171,0.359100013971329,0.426699995994568
D11,0.154499992728233,0.149599999189377,0.156000003218651,0.168400004506111,0.191100001335144,0.226899996399879,0.275099992752075,0.32490000128746,0.378899991512299
E2,0.152099996805191,0.169200003147125,0.171900004148483,0.175400003790855,0.182500004768372,0.195600003004074,0.214900001883507,0.245900005102158,0.287000000476837
E3,0.131300002336502,0.159999996423721,0.163499996066093,0.171200007200241,0.182799994945526,0.206599995493889,0.23929999768734,0.285699993371964,0.342500001192093
E4,0.151199996471405,0.173299998044968,0.175600007176399,0.181400001049042,0.188299998641014,0.199699997901917,0.216700002551079,0.24269999563694,0.278200000524521
E5,0.160699993371964,0.175799995660782,0.178299993276596,0.18520000576973,0.199499994516373,0.221599996089935,0.253500014543533,0.300300002098084,0.356499999761581
E6,0.155499994754791,0.177599996328354,0.178900003433228,0.18520000576973,0.197400003671646,0.218799993395805,0.251300007104874,0.297300010919571,0.351200014352798
E7,0.148800000548363,0.156200006604195,0.160799995064735,0.169599995017052,0.181199997663498,0.198100000619888,0.224999994039536,0.259799987077713,0.304399996995926
E8,0.144899994134903,0.155900001525879,0.161200001835823,0.170800000429153,0.185900002717972,0.208299994468689,0.23989999294281,0.280400007963181,0.328599989414215
E9,0.149800002574921,0.157600000500679,0.163900002837181,0.174899995326996,0.193499997258186,0.221599996089935,0.260699987411499,0.309599995613098,0.360700011253357
E10,0.145400002598763,0.144800007343292,0.149800002574921,0.160199999809265,0.17849999666214,0.208700001239777,0.250800013542175,0.30019998550415,0.352699995040894
E11,0.150600001215935,0.147400006651878,0.154699996113777,0.170800000429153,0.200200006365776,0.245700001716614,0.301600009202957,0.361699998378754,0.430599987506866
F2,0.161899998784065,0.186800003051758,0.189999997615814,0.195999994874001,0.205699995160103,0.219400003552437,0.24269999563694,0.275999993085861,0.319900006055832
F3,0.16159999370575,0.180600002408028,0.183799996972084,0.187700003385544,0.195600003004074,0.206499993801117,0.224700003862381,0.250200003385544,0.289000004529953
F4,0.151399999856949,0.177799999713898,0.178700000047684,0.182099997997284,0.18809999525547,0.198699995875359,0.216299995779991,0.243399992585182,0.281699985265732
F5,0.161100000143051,0.177499994635582,0.179100006818771,0.1858000010252,0.198300004005432,0.219699993729591,0.253100007772446,0.300399988889694,0.356400012969971
F6,0.158899992704391,0.180600002408028,0.1824000030756,0.188400000333786,0.201399996876717,0.219799995422363,0.250099986791611,0.294200003147125,0.347799986600876
F7,0.144999995827675,0.150299996137619,0.154799997806549,0.161799997091293,0.172099992632866,0.187000006437302,0.209399998188019,0.24210000038147,0.283499985933304
F8,0.14300000667572,0.149100005626678,0.155499994754791,0.163599997758865,0.177300006151199,0.196799993515015,0.227200001478195,0.26570001244545,0.313499987125397
F9,0.157000005245209,0.158500000834465,0.165500000119209,0.177799999713898,0.19760000705719,0.227599993348122,0.270799994468689,0.323599994182587,0.378199994564056
F10,0.144500002264977,0.150900006294251,0.157499998807907,0.170399993658066,0.193000003695488,0.229599997401238,0.277300000190735,0.334600001573563,0.392699986696243
F11,0.165600001811981,0.155900001525879,0.163900002837181,0.181700006127357,0.213400006294251,0.260800004005432,0.316799998283386,0.376899987459183,0.450100004673004
G2,0.145699992775917,0.158700004220009,0.16329999268055,0.171100005507469,0.18350000679493,0.203999996185303,0.231499999761581,0.271200001239777,0.321999996900558
G3,0.145699992775917,0.156200006604195,0.162000000476837,0.173099994659424,0.190799996256828,0.218600004911423,0.261299997568131,0.317699998617172,0.374099999666214
G4,0.157900005578995,0.166800007224083,0.171100005507469,0.17960000038147,0.193800002336502,0.214499995112419,0.246299996972084,0.291000008583069,0.344700008630753
G5,0.150099992752075,0.168599992990494,0.173600003123283,0.181999996304512,0.198699995875359,0.225700005888939,0.265599995851517,0.320800006389618,0.37720000743866
G6,0.157900005578995,0.170399993658066,0.174600005149841,0.18359999358654,0.199799999594688,0.226999998092651,0.267300009727478,0.32150000333786,0.377700001001358
G7,0.132599994540215,0.142599999904633,0.148599997162819,0.155300006270409,0.165199995040894,0.180099993944168,0.201499998569489,0.233500003814697,0.272799998521805
G8,0.144600003957748,0.155699998140335,0.162799999117851,0.174600005149841,0.191499993205071,0.216199994087219,0.25229999423027,0.295500010251999,0.344900012016296
G9,0.144600003957748,0.157000005245209,0.165299996733665,0.180600002408028,0.204999998211861,0.242599993944168,0.292600005865097,0.348300009965897,0.411399990320206
G10,0.155699998140335,0.154899999499321,0.162499994039536,0.17960000038147,0.20890000462532,0.254400014877319,0.308099985122681,0.366299986839294,0.435000002384186
G11,0.151800006628037,0.150399997830391,0.159799993038178,0.179700002074242,0.214599996805191,0.264999985694885,0.321299999952316,0.384499996900558,0.461499989032745
,,,,,,,,,
,,,,,,,,,
End Time:,,,,,,,,,
