Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,9/14/2024,,,,,,,,
Time:,1:15:57 PM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
E7,0.0775000005960465,0.0776999965310097,0.0777999982237816,0.0778999999165535,0.0781000033020973,0.0777999982237816,0.0780000016093254,0.0780000016093254,0.0778999999165535
E8,0.0828000009059906,0.0826999992132187,0.0826999992132187,0.0826999992132187,0.0829000025987625,0.0826999992132187,0.0826999992132187,0.0826999992132187,0.0828000009059906
E9,0.0811000019311905,0.0810000002384186,0.0810000002384186,0.0810000002384186,0.0811000019311905,0.0810000002384186,0.0811000019311905,0.0810000002384186,0.0810000002384186
E10,0.0811000019311905,0.0810000002384186,0.0810000002384186,0.0808999985456467,0.0811000019311905,0.0808999985456467,0.0810000002384186,0.0810000002384186,0.0808999985456467
E11,0.0808999985456467,0.0808999985456467,0.0807999968528748,0.0807000026106834,0.0808999985456467,0.0807999968528748,0.0807999968528748,0.0808999985456467,0.0807999968528748
F2,0.162000000476837,0.165399998426437,0.164900004863739,0.165199995040894,0.16779999434948,0.172199994325638,0.1807000041008,0.193499997258186,0.213200002908707
F3,0.16889999806881,0.166199997067451,0.164399996399879,0.163100004196167,0.163800001144409,0.165800005197525,0.170499995350838,0.177499994635582,0.189300000667572
F4,0.169699996709824,0.167400002479553,0.165999993681908,0.165900006890297,0.167400002479553,0.170900002121925,0.17679999768734,0.18690000474453,0.202399998903275
F5,0.176699995994568,0.173899993300438,0.172999992966652,0.173899993300438,0.177699998021126,0.184799998998642,0.196600005030632,0.216399997472763,0.244699999690056
F6,0.172399997711182,0.172800004482269,0.169799998402596,0.169900000095367,0.172600001096725,0.178200006484985,0.185000002384186,0.19820000231266,0.216900005936623
F7,0.0776999965310097,0.0776000022888184,0.0776000022888184,0.0773999989032745,0.0775000005960465,0.0772999972105026,0.0773999989032745,0.0773999989032745,0.0775000005960465
F8,0.0825999975204468,0.0825999975204468,0.0825999975204468,0.0825999975204468,0.0828000009059906,0.0825999975204468,0.0826999992132187,0.0828000009059906,0.0826999992132187
F9,0.0817999988794327,0.0816999971866608,0.0816999971866608,0.0816000029444695,0.0817999988794327,0.0816000029444695,0.0816000029444695,0.0817999988794327,0.0816000029444695
F10,0.0816000029444695,0.0816000029444695,0.0816000029444695,0.0815000012516975,0.0816999971866608,0.0816000029444695,0.0816000029444695,0.0816999971866608,0.0816000029444695
F11,0.0808999985456467,0.0808999985456467,0.0810000002384186,0.0810000002384186,0.0812000036239624,0.0812000036239624,0.0811000019311905,0.0812000036239624,0.0810000002384186
G2,0.172099992632866,0.168500006198883,0.167199999094009,0.166700005531311,0.167300000786781,0.16949999332428,0.173800006508827,0.180800005793571,0.191599994897842
G3,0.169100001454353,0.168099999427795,0.166500002145767,0.165700003504753,0.167999997735024,0.172800004482269,0.183100000023842,0.198599994182587,0.222100004553795
G4,0.179199993610382,0.17620000243187,0.175600007176399,0.176699995994568,0.182199999690056,0.1908999979496,0.205099999904633,0.227599993348122,0.25900000333786
G5,0.17509999871254,0.175799995660782,0.174500003457069,0.174899995326996,0.17960000038147,0.187600001692772,0.201399996876717,0.223600000143051,0.254799991846085
G6,0.179000005125999,0.173099994659424,0.171100005507469,0.170399993658066,0.172999992966652,0.178299993276596,0.187700003385544,0.201199993491173,0.222100004553795
G7,0.0767000019550324,0.0766000002622604,0.0767000019550324,0.0768000036478043,0.0769999995827675,0.0767000019550324,0.0767000019550324,0.0768000036478043,0.0767000019550324
G8,0.0817999988794327,0.0817999988794327,0.0817999988794327,0.0817999988794327,0.0820999965071678,0.0817999988794327,0.0820000022649765,0.0820000022649765,0.0819000005722046
G9,0.0812000036239624,0.0812000036239624,0.0812000036239624,0.0811000019311905,0.0812999978661537,0.0812000036239624,0.0812000036239624,0.0812999978661537,0.0812999978661537
G10,0.0803999975323677,0.0803999975323677,0.0803999975323677,0.0803999975323677,0.0806000009179115,0.0803999975323677,0.0803999975323677,0.0803999975323677,0.0804999992251396
G11,0.0800999999046326,0.0800999999046326,0.0803000032901764,0.0803999975323677,0.0806000009179115,0.0804999992251396,0.0806000009179115,0.0804999992251396,0.0806000009179115
,,,,,,,,,
,,,,,,,,,
End Time:,,,,,,,,,
