,codon,charging_rate,ecol,gfp_rbs_foldx,species,ribo_density
153,0.5,300.0,0.6,0.3,cellularProtein,3.243
154,0.5,300.0,0.6,1.0,GFP,1.1083333333333334
155,0.5,300.0,0.6,1.0,cellularProtein,3.2236666666666665
156,0.5,300.0,0.6,3.0,GFP,3.086666666666667
157,0.5,300.0,0.6,3.0,cellularProtein,2.9876666666666667
158,0.5,300.0,0.6,10.0,GFP,7.473333333333334
159,0.5,300.0,0.6,10.0,cellularProtein,2.4063333333333334
160,0.5,300.0,0.8,0.1,GFP,0.1
161,0.5,300.0,0.8,0.1,cellularProtein,3.0643333333333334
162,0.5,300.0,0.8,0.3,GFP,0.27
163,0.5,300.0,0.8,0.3,cellularProtein,3.0463333333333336
164,0.5,300.0,0.8,1.0,GFP,0.9866666666666667
165,0.5,300.0,0.8,1.0,cellularProtein,2.9503333333333335
166,0.5,300.0,0.8,3.0,GFP,2.855
167,0.5,300.0,0.8,3.0,cellularProtein,2.727666666666667
168,0.5,300.0,0.8,10.0,GFP,7.76
169,0.5,300.0,0.8,10.0,cellularProtein,2.1740000000000004
170,0.5,300.0,1.0,0.1,GFP,0.08
171,0.5,300.0,1.0,0.1,cellularProtein,3.2183333333333337
172,0.5,300.0,1.0,0.3,GFP,0.23833333333333334
173,0.5,300.0,1.0,0.3,cellularProtein,3.232666666666667
174,0.5,300.0,1.0,1.0,GFP,0.8033333333333333
175,0.5,300.0,1.0,1.0,cellularProtein,3.137
176,0.5,300.0,1.0,3.0,GFP,2.3183333333333334
177,0.5,300.0,1.0,3.0,cellularProtein,2.953333333333333
178,0.5,300.0,1.0,10.0,GFP,6.691666666666667
179,0.5,300.0,1.0,10.0,cellularProtein,2.3073333333333332
180,0.7,100.0,0.6,0.1,GFP,0.10666666666666666
181,0.7,100.0,0.6,0.1,cellularProtein,4.172666666666666
182,0.7,100.0,0.6,0.3,GFP,0.31166666666666665
183,0.7,100.0,0.6,0.3,cellularProtein,4.123666666666667
184,0.7,100.0,0.6,1.0,GFP,0.9783333333333333
185,0.7,100.0,0.6,1.0,cellularProtein,4.018666666666666
186,0.7,100.0,0.6,3.0,GFP,2.7766666666666664
187,0.7,100.0,0.6,3.0,cellularProtein,3.7159999999999997
188,0.7,100.0,0.6,10.0,GFP,7.1433333333333335
189,0.7,100.0,0.6,10.0,cellularProtein,2.979
190,0.7,100.0,0.8,0.1,GFP,0.12166666666666667
191,0.7,100.0,0.8,0.1,cellularProtein,4.035333333333333
192,0.7,100.0,0.8,0.3,GFP,0.3783333333333333
193,0.7,100.0,0.8,0.3,cellularProtein,3.999
194,0.7,100.0,0.8,1.0,GFP,1.045
195,0.7,100.0,0.8,1.0,cellularProtein,3.8613333333333335
196,0.7,100.0,0.8,3.0,GFP,2.878333333333333
197,0.7,100.0,0.8,3.0,cellularProtein,3.5923333333333334
198,0.7,100.0,0.8,10.0,GFP,7.406666666666666
199,0.7,100.0,0.8,10.0,cellularProtein,2.8513333333333333
200,0.7,100.0,1.0,0.1,GFP,0.10999999999999999
201,0.7,100.0,1.0,0.1,cellularProtein,4.1850000000000005
202,0.7,100.0,1.0,0.3,GFP,0.32
203,0.7,100.0,1.0,0.3,cellularProtein,4.1770000000000005
204,0.7,100.0,1.0,1.0,GFP,0.9433333333333334
205,0.7,100.0,1.0,1.0,cellularProtein,4.071
206,0.7,100.0,1.0,3.0,GFP,2.591666666666667
207,0.7,100.0,1.0,3.0,cellularProtein,3.768
208,0.7,100.0,1.0,10.0,GFP,6.548333333333334
209,0.7,100.0,1.0,10.0,cellularProtein,3.110333333333333
210,0.7,300.0,0.6,0.1,GFP,0.09
211,0.7,300.0,0.6,0.1,cellularProtein,3.2886666666666664
212,0.7,300.0,0.6,0.3,GFP,0.27
213,0.7,300.0,0.6,0.3,cellularProtein,3.296666666666667
214,0.7,300.0,0.6,1.0,GFP,0.8866666666666667
215,0.7,300.0,0.6,1.0,cellularProtein,3.2203333333333335
216,0.7,300.0,0.6,3.0,GFP,2.371666666666667
217,0.7,300.0,0.6,3.0,cellularProtein,3.0436666666666667
218,0.7,300.0,0.6,10.0,GFP,6.2700000000000005
219,0.7,300.0,0.6,10.0,cellularProtein,2.529333333333333
220,0.7,300.0,0.8,0.1,GFP,0.09333333333333334
221,0.7,300.0,0.8,0.1,cellularProtein,3.0513333333333335
222,0.7,300.0,0.8,0.3,GFP,0.31333333333333335
223,0.7,300.0,0.8,0.3,cellularProtein,3.0176666666666665
224,0.7,300.0,0.8,1.0,GFP,0.9266666666666665
225,0.7,300.0,0.8,1.0,cellularProtein,2.935666666666667
226,0.7,300.0,0.8,3.0,GFP,2.4816666666666665
227,0.7,300.0,0.8,3.0,cellularProtein,2.8003333333333336
228,0.7,300.0,0.8,10.0,GFP,6.738333333333334
229,0.7,300.0,0.8,10.0,cellularProtein,2.3226666666666667
230,0.7,300.0,1.0,0.1,GFP,0.095
231,0.7,300.0,1.0,0.1,cellularProtein,3.2163333333333335
232,0.7,300.0,1.0,0.3,GFP,0.26666666666666666
233,0.7,300.0,1.0,0.3,cellularProtein,3.2096666666666662
234,0.7,300.0,1.0,1.0,GFP,0.8766666666666666
235,0.7,300.0,1.0,1.0,cellularProtein,3.1256666666666666
236,0.7,300.0,1.0,3.0,GFP,2.378333333333333
237,0.7,300.0,1.0,3.0,cellularProtein,2.9796666666666667
238,0.7,300.0,1.0,10.0,GFP,6.33
239,0.7,300.0,1.0,10.0,cellularProtein,2.4626666666666663
240,0.9,100.0,0.6,0.1,GFP,0.058333333333333334
241,0.9,100.0,0.6,0.1,cellularProtein,4.169666666666666
242,0.9,100.0,0.6,0.3,GFP,0.155
243,0.9,100.0,0.6,0.3,cellularProtein,4.136333333333334
244,0.9,100.0,0.6,1.0,GFP,0.5566666666666666
245,0.9,100.0,0.6,1.0,cellularProtein,4.066666666666666
246,0.9,100.0,0.6,3.0,GFP,1.705
247,0.9,100.0,0.6,3.0,cellularProtein,3.867
248,0.9,100.0,0.6,10.0,GFP,6.365
249,0.9,100.0,0.6,10.0,cellularProtein,3.0603333333333333
250,0.9,100.0,0.8,0.1,GFP,0.13499999999999998
251,0.9,100.0,0.8,0.1,cellularProtein,4.022333333333334
252,0.9,100.0,0.8,0.3,GFP,0.37666666666666665
253,0.9,100.0,0.8,0.3,cellularProtein,3.971
254,0.9,100.0,0.8,1.0,GFP,1.1933333333333334
255,0.9,100.0,0.8,1.0,cellularProtein,3.864
256,0.9,100.0,0.8,3.0,GFP,3.2233333333333336
257,0.9,100.0,0.8,3.0,cellularProtein,3.5573333333333332
258,0.9,100.0,0.8,10.0,GFP,7.876666666666667
259,0.9,100.0,0.8,10.0,cellularProtein,2.7993333333333332
260,0.9,100.0,1.0,0.1,GFP,0.12333333333333332
261,0.9,100.0,1.0,0.1,cellularProtein,4.203
262,0.9,100.0,1.0,0.3,GFP,0.3433333333333333
263,0.9,100.0,1.0,0.3,cellularProtein,4.146333333333334
264,0.9,100.0,1.0,1.0,GFP,1.1166666666666667
265,0.9,100.0,1.0,1.0,cellularProtein,4.026999999999999
266,0.9,100.0,1.0,3.0,GFP,3.035
267,0.9,100.0,1.0,3.0,cellularProtein,3.696
268,0.9,100.0,1.0,10.0,GFP,7.445
269,0.9,100.0,1.0,10.0,cellularProtein,2.9836666666666667
270,0.9,300.0,0.6,0.1,GFP,0.04166666666666667
271,0.9,300.0,0.6,0.1,cellularProtein,3.3229999999999995
272,0.9,300.0,0.6,0.3,GFP,0.16833333333333333
273,0.9,300.0,0.6,0.3,cellularProtein,3.2826666666666666
274,0.9,300.0,0.6,1.0,GFP,0.6383333333333334
275,0.9,300.0,0.6,1.0,cellularProtein,3.2543333333333337
276,0.9,300.0,0.6,3.0,GFP,1.8633333333333333
277,0.9,300.0,0.6,3.0,cellularProtein,3.0953333333333335
278,0.9,300.0,0.6,10.0,GFP,5.258333333333334
279,0.9,300.0,0.6,10.0,cellularProtein,2.617
280,0.9,300.0,0.8,0.1,GFP,0.11166666666666666
281,0.9,300.0,0.8,0.1,cellularProtein,3.0553333333333335
282,0.9,300.0,0.8,0.3,GFP,0.27666666666666667
283,0.9,300.0,0.8,0.3,cellularProtein,3.0483333333333333
284,0.9,300.0,0.8,1.0,GFP,0.8466666666666667
285,0.9,300.0,0.8,1.0,cellularProtein,2.986666666666667
286,0.9,300.0,0.8,3.0,GFP,2.35
287,0.9,300.0,0.8,3.0,cellularProtein,2.864666666666667
288,0.9,300.0,0.8,10.0,GFP,6.383333333333334
289,0.9,300.0,0.8,10.0,cellularProtein,2.4063333333333334
290,0.9,300.0,1.0,0.1,GFP,0.1
291,0.9,300.0,1.0,0.1,cellularProtein,3.2159999999999997
292,0.9,300.0,1.0,0.3,GFP,0.275
293,0.9,300.0,1.0,0.3,cellularProtein,3.2
294,0.9,300.0,1.0,1.0,GFP,0.9066666666666666
295,0.9,300.0,1.0,1.0,cellularProtein,3.1863333333333332
296,0.9,300.0,1.0,3.0,GFP,2.4899999999999998
297,0.9,300.0,1.0,3.0,cellularProtein,2.9726666666666666
298,0.9,300.0,1.0,10.0,GFP,6.461666666666666
299,0.9,300.0,1.0,10.0,cellularProtein,2.4983333333333335
