"","time","well","strain","rbs","experiment","groupID","OD660","growthrate","fluor","expression"
"23",19800,"B3","GGG","R0.5",4,"4 GGG R0.5",0.733102873606341,0.118096371410847,9375.02414776743,636.455057783118
"24",20700,"B3","GGG","R0.5",4,"4 GGG R0.5",0.748222833020347,0.100523464238783,9318.15608287852,521.666320784677
"25",21600,"B3","GGG","R0.5",4,"4 GGG R0.5",0.76160570787532,0.092434270080702,9228.88491497767,495.20680706827
"26",22500,"B3","GGG","R0.5",4,"4 GGG R0.5",0.775502885239465,0.0834454355976592,9172.55498662181,422.693294796333
"27",23400,"B3","GGG","R0.5",4,"4 GGG R0.5",0.787334269285202,0.071366858827221,9181.57853732748,467.861194467432
"28",24300,"B3","GGG","R0.5",4,"4 GGG R0.5",0.799131403011935,0.0658245528664361,9052.50729714449,338.454866852185
"29",25200,"B3","GGG","R0.5",4,"4 GGG R0.5",0.811005696228572,0.0628460997671914,9046.0523694427,390.929367845797
"30",26100,"B3","GGG","R0.5",4,"4 GGG R0.5",0.81958855007376,0.0552907430287873,9017.38177830539,347.145447196806
"31",27000,"B3","GGG","R0.5",4,"4 GGG R0.5",0.829311441097941,0.0519428706022097,8934.33092799671,222.880468125047
"32",27900,"B3","GGG","R0.5",4,"4 GGG R0.5",0.838797122878688,0.0484434773939865,8894.26717235498,276.173760774336
"33",28800,"B3","GGG","R0.5",4,"4 GGG R0.5",0.848014301487378,0.0446224228107678,8766.0583602239,117.373399871728
"34",29700,"B3","GGG","R0.5",4,"4 GGG R0.5",0.854748566661562,0.0420049054806786,8787.11204852516,143.455100322268
"35",30600,"B3","GGG","R0.5",4,"4 GGG R0.5",0.862968573187079,0.0397825071938045,8648.71753209655,64.0418288840916
"36",31500,"B3","GGG","R0.5",4,"4 GGG R0.5",0.869202830536025,0.0356076358837249,8579.78272340928,-3.40953308140231
"37",32400,"B3","GGG","R0.5",4,"4 GGG R0.5",0.884965720985617,0.0426514102969672,8379.82417510799,-20.7015374375398
"38",33300,"B3","GGG","R0.5",4,"4 GGG R0.5",0.896317133094583,0.0474869419292814,8248.8660843436,-134.118576082582
"39",34200,"B3","GGG","R0.5",4,"4 GGG R0.5",0.899319985083171,0.0412606309596105,8303.76615777333,4.72653748166845
"40",35100,"B3","GGG","R0.5",4,"4 GGG R0.5",0.900045706118856,0.0348690417502005,8256.72354293439,-29.3749778755809
"41",36000,"B3","GGG","R0.5",4,"4 GGG R0.5",0.899645716377667,0.0164521264469654,8258.39376120549,15.3688884782382
"42",36900,"B3","GGG","R0.5",4,"4 GGG R0.5",0.90044573949916,0.00459561329297199,8181.97948887673,-29.1066976903689
"43",37800,"B3","GGG","R0.5",4,"4 GGG R0.5",0.900708560858454,0.00154283781093861,8159.4808854817,-131.582456196768
"44",38700,"B3","GGG","R0.5",4,"4 GGG R0.5",0.901937119449888,0.00209925865973613,8143.96336367989,-95.5916788579402
"45",39600,"B3","GGG","R0.5",4,"4 GGG R0.5",0.902845711580345,0.00355063942597998,8145.83098429448,-83.452022236473
"46",40500,"B3","GGG","R0.5",4,"4 GGG R0.5",0.904685738044126,0.00469772578373311,8142.87497564546,-0.760110416635945
"47",41400,"B3","GGG","R0.5",4,"4 GGG R0.5",0.90677427479199,0.00671180559476267,8104.64734012394,-0.253015151250743
"48",42300,"B3","GGG","R0.5",4,"4 GGG R0.5",0.909905706771783,0.0087961699389154,8055.0261759734,-17.7066342932029
"49",43200,"B3","GGG","R0.5",4,"4 GGG R0.5",0.910914289525577,0.00889713210707264,7927.29436492494,-147.011202505175
