"","time","well","strain","rbs","experiment","groupID","OD660","growthrate","fluor","expression"
"91",36900,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.847870022803545,0.00478814946738143,5341.4,-102152.069641018
"92",37800,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.843190017342567,-0.0108048943704553,5273.4,-248423.21357145
"93",38700,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.840560019016266,-0.0138467259340563,5311.8,-234236.061823253
"94",39600,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.838840018957853,-0.0135574641253817,5264.3,-202570.629267917
"95",40500,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.835970013588667,-0.0141346055199519,5280.1,-262312.691746583
"96",41400,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.833040010929108,-0.0121106653608469,5228.1,-194531.917279711
"97",42300,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.83079998716712,-0.0116792824483051,5232.8,-340255.690214954
"98",43200,"B4","GFP25","R0.5",1,"1 GFP25 R0.5",0.829880015552044,-0.0107388768979506,5211.2,-229289.459211767
"99",0,"B5","GFP50","R1",1,"1 GFP50 R1",0.0267599977552891,NA,496.9,NA
"100",900,"B5","GFP50","R1",1,"1 GFP50 R1",0.0288000002503395,NA,426.9,NA
"101",1800,"B5","GFP50","R1",1,"1 GFP50 R1",0.0390100046992302,NA,422.6,NA
"102",2700,"B5","GFP50","R1",1,"1 GFP50 R1",0.0564500011503696,NA,457.1,NA
"103",3600,"B5","GFP50","R1",1,"1 GFP50 R1",0.0808899961411953,1.10618200794856,515,1404855.33183142
"104",4500,"B5","GFP50","R1",1,"1 GFP50 R1",0.110849996656179,1.3478025100628,613.6,10634810.1636926
"105",5400,"B5","GFP50","R1",1,"1 GFP50 R1",0.150259993225336,1.34854893787398,750.5,13491976.6599428
"106",6300,"B5","GFP50","R1",1,"1 GFP50 R1",0.193659997731447,1.23274872149505,940.4,14692202.8369488
"107",7200,"B5","GFP50","R1",1,"1 GFP50 R1",0.242310002446175,1.09712774889203,1165.9,15059964.01895
"108",8100,"B5","GFP50","R1",1,"1 GFP50 R1",0.298439987748861,0.990390960655674,1330.1,12955038.8615982
"109",9000,"B5","GFP50","R1",1,"1 GFP50 R1",0.361790012568235,0.878696885883633,1521.7,11136819.5288566
"110",9900,"B5","GFP50","R1",1,"1 GFP50 R1",0.43246002048254,0.803385851439318,1682.3,8735886.21194056
"111",10800,"B5","GFP50","R1",1,"1 GFP50 R1",0.480749989300966,0.685129453996466,1780.8,6095662.9070737
"112",11700,"B5","GFP50","R1",1,"1 GFP50 R1",0.523320024460554,0.561624311831057,1871.8,4650317.5562676
"113",12600,"B5","GFP50","R1",1,"1 GFP50 R1",0.566670014709234,0.448713181930787,1929.3,3102254.05145247
"114",13500,"B5","GFP50","R1",1,"1 GFP50 R1",0.62452000901103,0.367493485193447,1993.9,2134473.94557893
"115",14400,"B5","GFP50","R1",1,"1 GFP50 R1",0.651040012389421,0.303223741069571,1990.3,1324877.88846107
"116",15300,"B5","GFP50","R1",1,"1 GFP50 R1",0.683689997345209,0.267311416247888,1990.2,698928.244257998
"117",16200,"B5","GFP50","R1",1,"1 GFP50 R1",0.703500005602837,0.216290734849518,2025.9,538424.849963879
"118",17100,"B5","GFP50","R1",1,"1 GFP50 R1",0.723430029302836,0.147020460893657,2023.7,158408.58770094
"119",18000,"B5","GFP50","R1",1,"1 GFP50 R1",0.7396399743855,0.127592443424168,2035.1,230314.453379625
"120",18900,"B5","GFP50","R1",1,"1 GFP50 R1",0.754659978300333,0.0987626933077872,2025.6,176758.430884059
"121",19800,"B5","GFP50","R1",1,"1 GFP50 R1",0.769220015406609,0.0893091499268415,2034.6,42433.849496071
"122",20700,"B5","GFP50","R1",1,"1 GFP50 R1",0.781939978152513,0.077774153323171,2033.6,47281.8259901835
"123",21600,"B5","GFP50","R1",1,"1 GFP50 R1",0.792489991337061,0.0690163297362548,2044.7,45024.0370016056
"124",22500,"B5","GFP50","R1",1,"1 GFP50 R1",0.803490029275417,0.0626974880452741,2046.6,96878.364018993
"125",23400,"B5","GFP50","R1",1,"1 GFP50 R1",0.816789971292019,0.0600049542835534,2030.8,-17255.6024578722
"126",24300,"B5","GFP50","R1",1,"1 GFP50 R1",0.82585999071598,0.0546472730697268,2050.5,75660.9144892274
"127",25200,"B5","GFP50","R1",1,"1 GFP50 R1",0.836259988695383,0.0537596795553596,2051,27828.9722663064
"128",26100,"B5","GFP50","R1",1,"1 GFP50 R1",0.845199991762638,0.0506085000111239,2055.8,40120.1669574918
"129",27000,"B5","GFP50","R1",1,"1 GFP50 R1",0.853509997576475,0.0439752670589365,2049.7,81433.9276627775
"130",27900,"B5","GFP50","R1",1,"1 GFP50 R1",0.861190006881952,0.0418899053208018,2033.4,-72903.4921143148
"131",28800,"B5","GFP50","R1",1,"1 GFP50 R1",0.869410014152527,0.0388752809529062,2046.9,-17301.3219841912
"132",29700,"B5","GFP50","R1",1,"1 GFP50 R1",0.876429983228445,0.0362835429481516,2042.6,-55182.152278832
"133",30600,"B5","GFP50","R1",1,"1 GFP50 R1",0.890600015968084,0.0425381550291759,2013.1,-151408.595748193
"134",31500,"B5","GFP50","R1",1,"1 GFP50 R1",0.901619992405176,0.0458779751327536,2007.9,-104335.966058213
"135",32400,"B5","GFP50","R1",1,"1 GFP50 R1",0.904659970104694,0.0397443125046233,1991.5,-224457.090570335
"136",33300,"B5","GFP50","R1",1,"1 GFP50 R1",0.905119977891445,0.0322106882247392,2004.5,-153134.024479477
"137",34200,"B5","GFP50","R1",1,"1 GFP50 R1",0.905449983477592,0.0165366286224385,1994,-76273.7256293675
"138",35100,"B5","GFP50","R1",1,"1 GFP50 R1",0.905380026996136,0.00416163804906444,2005.9,-7960.67435558735
"139",36000,"B5","GFP50","R1",1,"1 GFP50 R1",0.906189981102943,0.00168982677036214,1986.8,-18688.69866778
"140",36900,"B5","GFP50","R1",1,"1 GFP50 R1",0.906370014697313,0.00138012024289146,2005.4,3577.33560412745
"141",37800,"B5","GFP50","R1",1,"1 GFP50 R1",0.905990007519722,0.000596237314856293,1978.4,-61995.2397778182
"142",38700,"B5","GFP50","R1",1,"1 GFP50 R1",0.906459987163544,0.00119211441061635,1996.8,-36155.8275044777
"143",39600,"B5","GFP50","R1",1,"1 GFP50 R1",0.906839977949858,0.000717028278012996,1974.3,-49648.5986004035
"144",40500,"B5","GFP50","R1",1,"1 GFP50 R1",0.906469970196486,0.000110275038179328,1988.1,-68709.415422396
"145",41400,"B5","GFP50","R1",1,"1 GFP50 R1",0.906640005111694,0.000717187308279854,1969.1,-36934.0750866523
"146",42300,"B5","GFP50","R1",1,"1 GFP50 R1",0.905400028079748,-0.00117002328634404,1977.8,-75466.5359706377
"147",43200,"B5","GFP50","R1",1,"1 GFP50 R1",0.903880016505718,-0.00326937802614075,1973.2,-4371.60400541057
"148",0,"B6","GFP50","R4",1,"1 GFP50 R4",0.025959999114275,NA,492.9,NA
"149",900,"B6","GFP50","R4",1,"1 GFP50 R4",0.0268000036478043,NA,405.9,NA
"150",1800,"B6","GFP50","R4",1,"1 GFP50 R4",0.0357100009918213,NA,407.6,NA
"151",2700,"B6","GFP50","R4",1,"1 GFP50 R4",0.0488500066101551,NA,451.1,NA
"152",3600,"B6","GFP50","R4",1,"1 GFP50 R4",0.0671900026500225,0.950967608655735,553,5289716.54764665
"153",4500,"B6","GFP50","R4",1,"1 GFP50 R4",0.0893500052392483,1.2041592766139,755.6,23496078.9485156
"154",5400,"B6","GFP50","R4",1,"1 GFP50 R4",0.113760001212358,1.1586601873314,1076.5,33929435.3639635
"155",6300,"B6","GFP50","R4",1,"1 GFP50 R4",0.141060001403093,1.06043082792268,1595.4,44756522.5310132
"156",7200,"B6","GFP50","R4",1,"1 GFP50 R4",0.169610008597374,0.925977268200035,2306.9,54340497.722744
"157",8100,"B6","GFP50","R4",1,"1 GFP50 R4",0.194940008968115,0.780130564670754,3029.1,57742124.5797837
"158",9000,"B6","GFP50","R4",1,"1 GFP50 R4",0.222289990633726,0.669891816855346,3851.7,59351281.2277353
"159",9900,"B6","GFP50","R4",1,"1 GFP50 R4",0.250960002839565,0.576108233470418,4651.3,56194143.4943093
"160",10800,"B6","GFP50","R4",1,"1 GFP50 R4",0.283749992400408,0.514591807440087,5343.8,48739868.7819307
"161",11700,"B6","GFP50","R4",1,"1 GFP50 R4",0.322119986265898,0.502232239377191,5976.8,41645292.0480785
"162",12600,"B6","GFP50","R4",1,"1 GFP50 R4",0.366370006650686,0.499660976304039,6446.3,32309321.1888505
"163",13500,"B6","GFP50","R4",1,"1 GFP50 R4",0.415120010823011,0.503274085934256,6786.9,23463548.0394202
"164",14400,"B6","GFP50","R4",1,"1 GFP50 R4",0.47074001505971,0.506212414592467,6995.3,15998600.6247351
"165",15300,"B6","GFP50","R4",1,"1 GFP50 R4",0.511889979988337,0.463185614822862,7181.2,10391517.7604678
"166",16200,"B6","GFP50","R4",1,"1 GFP50 R4",0.549100014567375,0.4046368309429,7455.9,7856062.02055412
"167",17100,"B6","GFP50","R4",1,"1 GFP50 R4",0.578630021959543,0.332095617308733,7518.7,5215800.47312219
"168",18000,"B6","GFP50","R4",1,"1 GFP50 R4",0.619739986211062,0.274994056391668,7595.1,3954580.39253644
"169",18900,"B6","GFP50","R4",1,"1 GFP50 R4",0.647760001569986,0.235410540687972,7538.6,2212911.74443871
"170",19800,"B6","GFP50","R4",1,"1 GFP50 R4",0.662220022082329,0.187317259544382,7533.6,457440.016608362
"171",20700,"B6","GFP50","R4",1,"1 GFP50 R4",0.676039988547564,0.155588950509332,7492.6,-147532.179473836
"172",21600,"B6","GFP50","R4",1,"1 GFP50 R4",0.693689987808466,0.11272514426204,7466.7,-700480.386019805
"173",22500,"B6","GFP50","R4",1,"1 GFP50 R4",0.707890020310879,0.088768483281907,7453.6,-451647.181137938
"174",23400,"B6","GFP50","R4",1,"1 GFP50 R4",0.722290025651455,0.0868288954533886,7373.8,-830818.011776308
"175",24300,"B6","GFP50","R4",1,"1 GFP50 R4",0.73336001932621,0.0813845110569287,7398.5,-479385.945607379
"176",25200,"B6","GFP50","R4",1,"1 GFP50 R4",0.7441600240767,0.0702309405709013,7331,-678238.110190189
"177",26100,"B6","GFP50","R4",1,"1 GFP50 R4",0.754900027811527,0.064296583903436,7376.8,-377436.781459395
"178",27000,"B6","GFP50","R4",1,"1 GFP50 R4",0.763609980791807,0.0556304066609495,7327.7,-223165.295797431
"179",27900,"B6","GFP50","R4",1,"1 GFP50 R4",0.773089990764856,0.0527587193532673,7290.4,-516247.818567602
"180",28800,"B6","GFP50","R4",1,"1 GFP50 R4",0.780610001087189,0.0478195688856844,7310.9,-94802.1281150185
"181",29700,"B6","GFP50","R4",1,"1 GFP50 R4",0.787130006402731,0.0418081001673083,7311.6,-304093.445489252
"182",30600,"B6","GFP50","R4",1,"1 GFP50 R4",0.79419999346137,0.0392781479910795,7246.1,-376746.765630458
"183",31500,"B6","GFP50","R4",1,"1 GFP50 R4",0.799420020729303,0.0334910312990092,7249.9,-185286.379975353
"184",32400,"B6","GFP50","R4",1,"1 GFP50 R4",0.80525998622179,0.0310895228118381,7157.5,-696109.028467328
"185",33300,"B6","GFP50","R4",1,"1 GFP50 R4",0.809420011937618,0.0279245293920986,7167.5,-649191.698471963
"186",34200,"B6","GFP50","R4",1,"1 GFP50 R4",0.813949999213219,0.0245636276237226,7101,-649338.05519088
"187",35100,"B6","GFP50","R4",1,"1 GFP50 R4",0.829080002009869,0.0364301640541588,7129.9,-532396.050728608
"188",36000,"B6","GFP50","R4",1,"1 GFP50 R4",0.835590007901192,0.0369728820905767,7045.8,-491192.924149782
"189",36900,"B6","GFP50","R4",1,"1 GFP50 R4",0.839369983226061,0.0363336339163668,7132.4,-153074.203760622
"190",37800,"B6","GFP50","R4",1,"1 GFP50 R4",0.838389995694161,0.029584442790988,7073.4,-119527.088819841
"191",38700,"B6","GFP50","R4",1,"1 GFP50 R4",0.836660027503967,0.00910115345909382,7110.8,-82266.7132452622
"192",39600,"B6","GFP50","R4",1,"1 GFP50 R4",0.835940014570951,0.000418785986694342,7060.3,62351.4371166097
