"","time","well","strain","rbs","experiment","groupID","OD660","growthrate","fluor","expression"
"1445",20700,"B10","MCH90","R1",2,"2 MCH90 R1",0.711220023781061,0.0988794909958714,3.15396631062376,5.43271683344973
"1446",21600,"B10","MCH90","R1",2,"2 MCH90 R1",0.705389983206987,0.0670111146748938,3.30261170155651,4.96721998149969
"1447",22500,"B10","MCH90","R1",2,"2 MCH90 R1",0.714769993722439,0.0557824905041621,3.59773016306046,5.1202832308079
"1448",23400,"B10","MCH90","R1",2,"2 MCH90 R1",0.713809975981712,0.040059939673138,3.6317065861598,3.86519537875399
"1449",24300,"B10","MCH90","R1",2,"2 MCH90 R1",0.720399986207485,0.0128247554300625,3.80832198939105,2.80655442375977
"1450",25200,"B10","MCH90","R1",2,"2 MCH90 R1",0.732479986548424,0.0376852008588558,3.92430197608958,3.03800525390855
"1451",26100,"B10","MCH90","R1",2,"2 MCH90 R1",0.733880020678043,0.0263847518467174,3.88745200882091,1.55655510918208
"1452",27000,"B10","MCH90","R1",2,"2 MCH90 R1",0.754259992390871,0.0551203392301978,4.10485809995822,2.75680047206206
"1453",27900,"B10","MCH90","R1",2,"2 MCH90 R1",0.761929993331432,0.0560480850415025,4.08984896043084,2.01279242017507
"1454",28800,"B10","MCH90","R1",2,"2 MCH90 R1",0.77050998955965,0.0506166013115889,4.03595801093296,1.25376789769208
"1455",29700,"B10","MCH90","R1",2,"2 MCH90 R1",0.791210006177425,0.0752178713786743,4.25326830091447,2.68800263254338
"1456",30600,"B10","MCH90","R1",2,"2 MCH90 R1",0.796250005811453,0.0541760881183107,4.44352759726811,2.28193279245228
"1457",31500,"B10","MCH90","R1",2,"2 MCH90 R1",0.790029975026846,0.0362162086155345,4.05945741801714,0.465043886364842
"1458",32400,"B10","MCH90","R1",2,"2 MCH90 R1",0.797440022230148,0.0343540048845075,4.25620479515567,1.4412693219714
"1459",33300,"B10","MCH90","R1",2,"2 MCH90 R1",0.78141001611948,-0.0124634263548567,3.9489952372206,-1.41263897883845
"1460",34200,"B10","MCH90","R1",2,"2 MCH90 R1",0.808840008825064,0.0156879191933934,4.32458992818259,-0.202606054843471
"1461",35100,"B10","MCH90","R1",2,"2 MCH90 R1",0.80521000251174,0.0190322282693881,4.15315455240313,0.688279955425065
"1462",36000,"B10","MCH90","R1",2,"2 MCH90 R1",0.814000002294779,0.020553744225809,4.34571055541718,0.715467587199476
"1463",36900,"B10","MCH90","R1",2,"2 MCH90 R1",0.816270003467798,0.043645186125238,3.95555777200953,0.71052317528925
"1464",37800,"B10","MCH90","R1",2,"2 MCH90 R1",0.821630023419857,0.0156890671923626,4.49781981281829,0.972183329842188
"1465",38700,"B10","MCH90","R1",2,"2 MCH90 R1",0.828250022232533,0.0282119519401929,4.33165107299043,1.1922009650124
"1466",39600,"B10","MCH90","R1",2,"2 MCH90 R1",0.831720016151667,0.0215354963158108,4.20298114006116,-0.202851061438757
"1467",40500,"B10","MCH90","R1",2,"2 MCH90 R1",0.833339972048998,0.0206965017793461,3.97172913001216,0.392124753684789
"1468",41400,"B10","MCH90","R1",2,"2 MCH90 R1",0.837029976397753,0.018569683372793,4.68942411507209,1.10619661339889
"1469",42300,"B10","MCH90","R1",2,"2 MCH90 R1",0.813670011609793,-0.0177601753562091,4.1869215219434,-0.873152401692979
"1470",43200,"B10","MCH90","R1",2,"2 MCH90 R1",0.829210014641285,-0.00302240717498531,4.04542556844434,-0.681289115089203
"1471",0,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.185679995268583,NA,0.398690269986335,NA
"1472",900,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.100779986381531,NA,0.694665861080267,NA
"1473",1800,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.100329994410276,NA,0.786473505135428,NA
"1474",2700,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.127679994702339,NA,0.543273467022343,NA
"1475",3600,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.161240011453629,-0.141130727200996,0.404599025638116,-0.260207963417688
"1476",4500,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.148830012977123,0.389865014053564,0.532702492737693,0.290320348395684
"1477",5400,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.194499997794628,0.66196745449569,0.286353846667351,-0.633679856658712
"1478",6300,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.218910010159016,0.539133640643115,0.516682686262439,1.02781750353289
"1479",7200,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.261720022559166,0.484381306913716,0.580866529083854,1.76181170782914
"1480",8100,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.298379977047443,0.695562962855454,0.811677719990291,2.90297516924555
"1481",9000,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.32415999174118,0.510805043862888,1.15128191083085,4.8934430530464
"1482",9900,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.345720021426678,0.456968528008496,1.43362786125834,5.28027437222511
"1483",10800,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.393640013039112,0.408161502957905,1.65293193455764,6.14227145820628
"1484",11700,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.405000013113022,0.305519334453582,2.16565077764746,7.18660035093682
"1485",12600,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.46016998142004,0.350358750469115,2.02809157603414,5.8077484938733
"1486",13500,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.51148000434041,0.391679231567545,2.32581334567236,6.55926157526022
"1487",14400,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.536700027436018,0.310002511147378,2.33188184108755,5.20904632936226
"1488",15300,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.574879988282919,0.350274203499052,2.28555098418805,3.51116196736456
"1489",16200,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.618429989367723,0.295588045142109,2.13283644307737,2.85560105461467
"1490",17100,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.666660006344318,0.264971687911595,2.09496649362834,1.42374605622954
"1491",18000,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.691370010375977,0.253235821028632,2.07405526250766,1.1814520471421
"1492",18900,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.728189980238676,0.236400673034952,1.9484977551532,0.640085741692698
"1493",19800,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.7370799690485,0.175512401280669,2.02397746178144,1.00428115110763
"1494",20700,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.759320018440485,0.130143139867321,2.16843737415527,1.39511046151732
"1495",21600,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.778389997035265,0.118552528783851,1.98673797060609,0.609132082487242
"1496",22500,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.786070023477077,0.0764839008359254,2.07459631309928,1.11849371943347
"1497",23400,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.814210006594658,0.0995219336128975,2.0021059637098,0.713801115900894
"1498",24300,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.827900002896786,0.0864690574358502,1.96770455349107,-0.0881280175793021
"1499",25200,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.855579969286919,0.0945518855134852,1.96062107402313,0.64503356729294
"1500",26100,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.868480004370213,0.0996986853841744,1.98877781047398,0.464500071453168
"1501",27000,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.888459969311953,0.0872712662569451,2.1079837091776,1.14098962477474
"1502",27900,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.89412999600172,0.0769587963567736,2.03670216652091,0.885969233474949
"1503",28800,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.93510994464159,0.0888845445991556,1.98700068560713,0.813173100559468
"1504",29700,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.949909995496273,0.0896226762849748,2.15332816420219,1.40320933471083
"1505",30600,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.970049997419119,0.0878580215556942,2.22057845079398,1.21273652999677
"1506",31500,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.974529954046011,0.0861040823362059,1.93885960263474,0.289602754927819
"1507",32400,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",1.00063994526863,0.0677309093453661,2.08315943816804,0.937545350626159
"1508",33300,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.962810017168522,0.0134888715362906,1.89158534206056,-0.923151110454986
"1509",34200,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",1.0187400303781,0.0489742644751184,2.10334467612556,-0.045915280550092
"1510",35100,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.956310041993856,-0.0188730841539146,2.07821042058094,0.398681609282639
"1511",36000,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.970200053602457,-0.0308927285131235,2.122218458248,-0.103962693936834
"1512",36900,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.930469999462366,-0.0341662758057764,2.01885895369745,0.236643659165369
"1513",37800,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.914130054414272,-0.108349025561889,2.34797330922494,0.0149965010946867
"1514",38700,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.91355005055666,-0.0457440079842296,2.2824538267518,0.41720129132908
"1515",39600,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.917620024830103,-0.0557189024335754,2.16273878541181,-0.320294969830503
"1516",40500,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.908640009909868,-0.0237408472185761,2.02022484103385,-0.186853133485206
"1517",41400,"C3","MCH25","R0.25",2,"2 MCH25 R0.25",0.912930054217577,-0.00131358608682532,2.47695050461222,0.503318836158879
