,well,time,rbs,cds,experiment,GFP,OD660,mCherry
229,E5,3600,R1,GFP75,1,2146.4,0.08550000563263874,0.09999999999999964
230,E5,4500,R1,GFP75,1,2183.0,0.08856999874115024,-1.0999999999999996
231,E5,5400,R1,GFP75,1,2220.2,0.10241000652313258,-0.09999999999999964
232,E5,6300,R1,GFP75,1,2281.8,0.11561000347137426,-0.09999999999999964
233,E5,7200,R1,GFP75,1,2345.1,0.14337000176310516,-1.4000000000000004
234,E6,0,R1,GFP90,1,2631.2,0.07850000634789474,0.3000000000000007
235,E6,900,R1,GFP90,1,2296.1,0.08141000121831861,1.6999999999999993
236,E6,1800,R1,GFP90,1,2246.8,0.07868999466300057,1.3000000000000007
237,E6,2700,R1,GFP90,1,2176.5,0.0779999986290928,0.1999999999999993
238,E6,3600,R1,GFP90,1,2176.4,0.07990000024437874,0.09999999999999964
239,E6,4500,R1,GFP90,1,2223.0,0.08596999943256423,-0.09999999999999964
240,E6,5400,R1,GFP90,1,2264.2,0.09580999910831457,-0.09999999999999964
241,E6,6300,R1,GFP90,1,2302.8,0.11101000010967224,-0.09999999999999964
242,E6,7200,R1,GFP90,1,2346.1,0.13236999437212915,0.5999999999999996
243,E7,0,R1,MCH10,1,1.2000000000000028,0.06610000506043474,1697.3
244,E7,900,R1,MCH10,1,2.0999999999999943,0.06321000605821563,1402.7
245,E7,1800,R1,MCH10,1,2.799999999999997,0.06319000050425556,1344.3
246,E7,2700,R1,MCH10,1,1.5,0.0653000071644788,1314.2
247,E7,3600,R1,MCH10,1,1.4000000000000057,0.07130000367760675,1320.1
248,E7,4500,R1,MCH10,1,-1.0,0.08246999979019123,1328.9
249,E7,5400,R1,MCH10,1,3.200000000000003,0.10161000788211859,1330.9
250,E7,6300,R1,MCH10,1,2.799999999999997,0.13080999255180326,1351.9
251,E7,7200,R1,MCH10,1,2.0999999999999943,0.17157000228762614,1388.6
252,E8,0,R1,MCH25,1,-2.799999999999997,0.07200000062584876,1586.3
253,E8,900,R1,MCH25,1,1.0999999999999943,0.06610999554395662,1293.7
254,E8,1800,R1,MCH25,1,0.7999999999999972,0.06558999642729758,1236.3
255,E8,2700,R1,MCH25,1,1.5,0.0680999949574468,1196.2
256,E8,3600,R1,MCH25,1,-0.5999999999999943,0.07580000534653675,1196.1
257,E8,4500,R1,MCH25,1,0.0,0.08936999738216422,1192.9
258,E8,5400,R1,MCH25,1,2.200000000000003,0.11230999529361758,1247.9
259,E8,6300,R1,MCH25,1,1.7999999999999972,0.14801000058650926,1259.9
260,E8,7200,R1,MCH25,1,0.09999999999999432,0.19837000891566314,1287.6
261,E9,0,R1,MCH50,1,3.200000000000003,0.07249999418854676,2193.3
262,E9,900,R1,MCH50,1,1.0999999999999943,0.06950999349355662,1765.7
263,E9,1800,R1,MCH50,1,6.799999999999997,0.06879000589251556,1677.3
264,E9,2700,R1,MCH50,1,1.5,0.07110000103712079,1648.2
265,E9,3600,R1,MCH50,1,2.4000000000000057,0.07850000634789475,1633.1
266,E9,4500,R1,MCH50,1,1.0,0.09196999669075023,1622.9
267,E9,5400,R1,MCH50,1,2.200000000000003,0.11481000781059257,1662.9
268,E9,6300,R1,MCH50,1,2.799999999999997,0.15030999481678026,1686.9
269,E9,7200,R1,MCH50,1,1.0999999999999943,0.19916999265551616,1720.6
270,F10,0,R2,MCH75,1,2.200000000000003,0.06510000303387674,1541.3
271,F10,900,R2,MCH75,1,1.0999999999999943,0.06221000403165862,1260.7
272,F10,1800,R2,MCH75,1,2.799999999999997,0.06229000017046958,1174.3
273,F10,2700,R2,MCH75,1,2.5,0.0664999976754188,1170.2
274,F10,3600,R2,MCH75,1,2.4000000000000057,0.07670000568032273,1165.1
275,F10,4500,R2,MCH75,1,0.0,0.09427000582218123,1170.9
276,F10,5400,R2,MCH75,1,3.200000000000003,0.12341000437736559,1211.9
277,F10,6300,R2,MCH75,1,2.799999999999997,0.16441000998020128,1226.9
278,F10,7200,R2,MCH75,1,4.099999999999994,0.21057000681757915,1244.6
279,F11,0,R2,MCH90,1,3.200000000000003,0.05839999392628674,693.3
280,F11,900,R2,MCH90,1,5.099999999999994,0.054509992897510615,564.7
281,F11,1800,R2,MCH90,1,2.799999999999997,0.05439000055193856,531.3
282,F11,2700,R2,MCH90,1,3.5,0.05710000246763279,528.2
283,F11,3600,R2,MCH90,1,4.400000000000006,0.06359999254345874,527.1
284,F11,4500,R2,MCH90,1,5.0,0.07407000660896323,522.9
285,F11,5400,R2,MCH90,1,3.200000000000003,0.09001000523567158,535.9
286,F11,6300,R2,MCH90,1,4.799999999999997,0.11381000280380224,553.9
287,F11,7200,R2,MCH90,1,5.099999999999994,0.1464699946343902,551.6
288,F2,0,R2,GFP10,1,1772.2,0.07400000467896474,1.3000000000000007
289,F2,900,R2,GFP10,1,1524.1,0.06890999823808662,-0.3000000000000007
290,F2,1800,R2,GFP10,1,1496.8,0.06748999878764157,1.3000000000000007
291,F2,2700,R2,GFP10,1,1454.5,0.06680000275373481,0.1999999999999993
292,F2,3600,R2,GFP10,1,1461.4,0.06760000064969074,-0.9000000000000004
293,F2,4500,R2,GFP10,1,1478.0,0.07057000696659124,-1.0999999999999996
294,F2,5400,R2,GFP10,1,1500.2,0.07700999379158059,-0.09999999999999964
295,F2,6300,R2,GFP10,1,1526.8,0.08620999753475225,-0.09999999999999964
296,F2,7200,R2,GFP10,1,1550.1,0.09966999217867818,-1.4000000000000004
297,F3,0,R2,GFP25,1,2183.2,0.07609999552369075,-0.6999999999999993
298,F3,900,R2,GFP25,1,1911.1,0.06921000331640263,0.6999999999999993
299,F3,1800,R2,GFP25,1,1883.8,0.06738999709486958,0.3000000000000007
300,F3,2700,R2,GFP25,1,1830.5,0.0681999966502188,1.1999999999999993
301,F3,3600,R2,GFP25,1,1836.4,0.07110000029206273,0.09999999999999964
302,F3,4500,R2,GFP25,1,1865.0,0.07647000253200523,-0.09999999999999964
303,F3,5400,R2,GFP25,1,1902.2,0.08520999848842657,-1.0999999999999996
304,F3,6300,R2,GFP25,1,1934.8,0.09991000592708627,-2.0999999999999996
305,F3,7200,R2,GFP25,1,1987.1,0.12206999883055718,0.5999999999999996
306,F4,0,R2,GFP50,1,1912.2,0.09050000086426775,1.3000000000000007
307,F4,900,R2,GFP50,1,1654.1,0.07701000124216063,0.6999999999999993
308,F4,1800,R2,GFP50,1,1617.8,0.07698999568819957,0.3000000000000007
309,F4,2700,R2,GFP50,1,1583.5,0.08110000640153879,1.1999999999999993
310,F4,3600,R2,GFP50,1,1582.4,0.09080000594258275,0.09999999999999964
311,F4,4500,R2,GFP50,1,1590.0,0.10596999526023823,-0.09999999999999964
312,F4,5400,R2,GFP50,1,1641.2,0.13231000602245357,0.9000000000000004
313,F4,6300,R2,GFP50,1,1655.8,0.17161001265049025,0.9000000000000004
314,F4,7200,R2,GFP50,1,1709.1,0.21676999256014817,1.5999999999999996
315,F5,0,R2,GFP75,1,2565.2,0.08659999445080775,1.3000000000000007
316,F5,900,R2,GFP75,1,2196.1,0.08151000291109063,0.6999999999999993
317,F5,1800,R2,GFP75,1,2160.8,0.07919000312685957,-0.6999999999999993
318,F5,2700,R2,GFP75,1,2091.5,0.0793000057339668,-0.8000000000000007
319,F5,3600,R2,GFP75,1,2114.4,0.08389999344944973,-0.9000000000000004
320,F5,4500,R2,GFP75,1,2143.0,0.09257000684738123,-0.09999999999999964
321,F5,5400,R2,GFP75,1,2237.2,0.10831000208854659,-0.09999999999999964
