,codon,charging_rate,ecol,gfp_rbs_foldx,species,protein
131,0.5,100.0,0.8,0.1,TTT_charged,220.1
132,0.5,100.0,0.8,0.3,ATA_charged,360.53333333333336
133,0.5,100.0,0.8,0.3,TTT_charged,217.66666666666666
134,0.5,100.0,0.8,1.0,ATA_charged,323.7
135,0.5,100.0,0.8,1.0,TTT_charged,221.46666666666664
136,0.5,100.0,0.8,3.0,ATA_charged,259.73333333333335
137,0.5,100.0,0.8,3.0,TTT_charged,239.03333333333336
138,0.5,100.0,0.8,10.0,ATA_charged,141.13333333333333
139,0.5,100.0,0.8,10.0,TTT_charged,333.8
140,0.5,100.0,1.0,0.1,ATA_charged,745.9
141,0.5,100.0,1.0,0.1,TTT_charged,182.96666666666664
142,0.5,100.0,1.0,0.3,ATA_charged,734.1333333333333
143,0.5,100.0,1.0,0.3,TTT_charged,188.33333333333331
144,0.5,100.0,1.0,1.0,ATA_charged,706.2
145,0.5,100.0,1.0,1.0,TTT_charged,188.9
146,0.5,100.0,1.0,3.0,ATA_charged,628.0666666666667
147,0.5,100.0,1.0,3.0,TTT_charged,183.5
148,0.5,100.0,1.0,10.0,ATA_charged,433.1666666666667
149,0.5,100.0,1.0,10.0,TTT_charged,192.5
150,0.5,300.0,0.6,0.1,ATA_charged,292.93333333333334
151,0.5,300.0,0.6,0.1,TTT_charged,1050.5666666666666
152,0.5,300.0,0.6,0.3,ATA_charged,294.0666666666667
153,0.5,300.0,0.6,0.3,TTT_charged,1073.9
154,0.5,300.0,0.6,1.0,ATA_charged,284.33333333333337
155,0.5,300.0,0.6,1.0,TTT_charged,1069.1333333333334
156,0.5,300.0,0.6,3.0,ATA_charged,269.3
157,0.5,300.0,0.6,3.0,TTT_charged,1080.3333333333335
158,0.5,300.0,0.6,10.0,ATA_charged,253.7666666666667
159,0.5,300.0,0.6,10.0,TTT_charged,1106.3666666666666
160,0.5,300.0,0.8,0.1,ATA_charged,486.4333333333333
161,0.5,300.0,0.8,0.1,TTT_charged,691.4666666666667
162,0.5,300.0,0.8,0.3,ATA_charged,479.8333333333333
163,0.5,300.0,0.8,0.3,TTT_charged,704.1333333333333
164,0.5,300.0,0.8,1.0,ATA_charged,467.0333333333333
165,0.5,300.0,0.8,1.0,TTT_charged,712.5333333333333
166,0.5,300.0,0.8,3.0,ATA_charged,420.4666666666667
167,0.5,300.0,0.8,3.0,TTT_charged,734.4333333333333
168,0.5,300.0,0.8,10.0,ATA_charged,337.73333333333335
169,0.5,300.0,0.8,10.0,TTT_charged,791.5333333333333
170,0.5,300.0,1.0,0.1,ATA_charged,745.8333333333333
171,0.5,300.0,1.0,0.1,TTT_charged,553.7
172,0.5,300.0,1.0,0.3,ATA_charged,739.3333333333333
173,0.5,300.0,1.0,0.3,TTT_charged,557.9666666666667
174,0.5,300.0,1.0,1.0,ATA_charged,717.0333333333333
175,0.5,300.0,1.0,1.0,TTT_charged,552.0333333333334
176,0.5,300.0,1.0,3.0,ATA_charged,656.3666666666667
177,0.5,300.0,1.0,3.0,TTT_charged,561.2333333333333
178,0.5,300.0,1.0,10.0,ATA_charged,512.3333333333333
179,0.5,300.0,1.0,10.0,TTT_charged,600.3
180,0.7,100.0,0.6,0.1,ATA_charged,96.26666666666667
181,0.7,100.0,0.6,0.1,TTT_charged,763.4666666666667
182,0.7,100.0,0.6,0.3,ATA_charged,92.83333333333334
183,0.7,100.0,0.6,0.3,TTT_charged,750.9666666666667
184,0.7,100.0,0.6,1.0,ATA_charged,93.83333333333333
185,0.7,100.0,0.6,1.0,TTT_charged,736.6666666666667
186,0.7,100.0,0.6,3.0,ATA_charged,94.8
187,0.7,100.0,0.6,3.0,TTT_charged,706.2
188,0.7,100.0,0.6,10.0,ATA_charged,95.76666666666667
189,0.7,100.0,0.6,10.0,TTT_charged,612.3666666666667
190,0.7,100.0,0.8,0.1,ATA_charged,367.33333333333337
191,0.7,100.0,0.8,0.1,TTT_charged,222.46666666666664
192,0.7,100.0,0.8,0.3,ATA_charged,363.93333333333334
193,0.7,100.0,0.8,0.3,TTT_charged,214.8
194,0.7,100.0,0.8,1.0,ATA_charged,352.0
195,0.7,100.0,0.8,1.0,TTT_charged,223.3
196,0.7,100.0,0.8,3.0,ATA_charged,330.76666666666665
197,0.7,100.0,0.8,3.0,TTT_charged,215.16666666666666
198,0.7,100.0,0.8,10.0,ATA_charged,285.1333333333333
199,0.7,100.0,0.8,10.0,TTT_charged,219.23333333333335
200,0.7,100.0,1.0,0.1,ATA_charged,747.0666666666667
201,0.7,100.0,1.0,0.1,TTT_charged,182.0
202,0.7,100.0,1.0,0.3,ATA_charged,741.0666666666667
203,0.7,100.0,1.0,0.3,TTT_charged,187.8
204,0.7,100.0,1.0,1.0,ATA_charged,722.5666666666666
205,0.7,100.0,1.0,1.0,TTT_charged,185.36666666666667
206,0.7,100.0,1.0,3.0,ATA_charged,678.6666666666667
207,0.7,100.0,1.0,3.0,TTT_charged,186.4
208,0.7,100.0,1.0,10.0,ATA_charged,571.2666666666667
209,0.7,100.0,1.0,10.0,TTT_charged,185.03333333333333
210,0.7,300.0,0.6,0.1,ATA_charged,292.9
211,0.7,300.0,0.6,0.1,TTT_charged,1071.1
212,0.7,300.0,0.6,0.3,ATA_charged,292.56666666666666
213,0.7,300.0,0.6,0.3,TTT_charged,1054.4666666666667
214,0.7,300.0,0.6,1.0,ATA_charged,286.23333333333335
215,0.7,300.0,0.6,1.0,TTT_charged,1038.5
216,0.7,300.0,0.6,3.0,ATA_charged,290.33333333333337
217,0.7,300.0,0.6,3.0,TTT_charged,1010.4333333333334
218,0.7,300.0,0.6,10.0,ATA_charged,286.1666666666667
219,0.7,300.0,0.6,10.0,TTT_charged,947.0666666666666
220,0.7,300.0,0.8,0.1,ATA_charged,491.2666666666667
221,0.7,300.0,0.8,0.1,TTT_charged,699.1666666666666
222,0.7,300.0,0.8,0.3,ATA_charged,487.4666666666667
223,0.7,300.0,0.8,0.3,TTT_charged,699.0
224,0.7,300.0,0.8,1.0,ATA_charged,478.3
225,0.7,300.0,0.8,1.0,TTT_charged,694.8333333333333
226,0.7,300.0,0.8,3.0,ATA_charged,461.3666666666667
227,0.7,300.0,0.8,3.0,TTT_charged,681.9333333333333
228,0.7,300.0,0.8,10.0,ATA_charged,416.7333333333333
229,0.7,300.0,0.8,10.0,TTT_charged,673.6666666666667
230,0.7,300.0,1.0,0.1,ATA_charged,747.8333333333333
231,0.7,300.0,1.0,0.1,TTT_charged,558.0
232,0.7,300.0,1.0,0.3,ATA_charged,743.4
233,0.7,300.0,1.0,0.3,TTT_charged,555.2666666666667
234,0.7,300.0,1.0,1.0,ATA_charged,728.9333333333334
235,0.7,300.0,1.0,1.0,TTT_charged,552.2
236,0.7,300.0,1.0,3.0,ATA_charged,693.6333333333333
237,0.7,300.0,1.0,3.0,TTT_charged,546.5
238,0.7,300.0,1.0,10.0,ATA_charged,612.6
239,0.7,300.0,1.0,10.0,TTT_charged,542.2
240,0.9,100.0,0.6,0.1,ATA_charged,92.8
241,0.9,100.0,0.6,0.1,TTT_charged,760.9
242,0.9,100.0,0.6,0.3,ATA_charged,94.0
243,0.9,100.0,0.6,0.3,TTT_charged,743.0666666666667
244,0.9,100.0,0.6,1.0,ATA_charged,95.6
245,0.9,100.0,0.6,1.0,TTT_charged,696.3666666666667
246,0.9,100.0,0.6,3.0,ATA_charged,103.7
247,0.9,100.0,0.6,3.0,TTT_charged,581.4333333333333
248,0.9,100.0,0.6,10.0,ATA_charged,146.03333333333333
249,0.9,100.0,0.6,10.0,TTT_charged,322.7
250,0.9,100.0,0.8,0.1,ATA_charged,363.7333333333333
251,0.9,100.0,0.8,0.1,TTT_charged,219.1
252,0.9,100.0,0.8,0.3,ATA_charged,368.5333333333333
253,0.9,100.0,0.8,0.3,TTT_charged,219.13333333333335
254,0.9,100.0,0.8,1.0,ATA_charged,381.23333333333335
255,0.9,100.0,0.8,1.0,TTT_charged,214.93333333333334
