Application: Tecan i-control,,,,"Tecan i-control , 1.11.1.0",,,,,
Device: infinite 200Pro,,,,Serial number: 1602000080,,,,Serial number of connected stacker:,
Firmware: V_3.40_01/15_Infinite (Dec 23 2014/12.45.11),,,,"MAI, V_3.40_01/15_Infinite (Dec 23 2014/12.45.11)",,,,,
,,,,,,,,,
Date:,9/6/2024,,,,,,,,
Time:,11:46:29 AM,,,,,,,,
,,,,,,,,,
,,,,,,,,,
System,,,,DESKTOP-R891HJ3,,,,,
User,,,,DESKTOP-R891HJ3\Barrick Lab,,,,,
Plate,,,,Greiner 96 Flat Bottom Transparent Polystyrene Cat. No.: 655101/655161/655192 [GRE96ft.pdfx],,,,,
Plate-ID (Stacker),,,,,,,,,
,,,,,,,,,
Wait (Plate),,,,On,Target Temperature: 37 °C,,,,
,,,,,,,,,
Wait (Plate Temperature),,,,Valid Range: 36.5 - 37.5 °C,,,,,
,,,,,,,,,
List of actions in this measurement script:,,,,,,,,,
E3,0.181099995970726,0.166999995708466,0.163100004196167,0.161699995398521,0.162799999117851,0.165199995040894,0.170499995350838,0.178200006484985,0.192399993538857
E4,0.16889999806881,0.17739999294281,0.174799993634224,0.168699994683266,0.171200007200241,0.180099993944168,0.19650000333786,0.221799999475479,0.259299993515015
E5,0.162300005555153,0.164700001478195,0.164599999785423,0.17059999704361,0.17509999871254,0.187199994921684,0.205200001597404,0.231800004839897,0.271499991416931
E6,0.161799997091293,0.164100006222725,0.160300001502037,0.161899998784065,0.163200005888939,0.169400006532669,0.182500004768372,0.203199997544289,0.233300000429153
E7,0.0756999999284744,0.0750000029802322,0.0754999965429306,0.0763000026345253,0.0759000033140183,0.0760999992489815,0.0764999985694885,0.0763000026345253,0.0764999985694885
E8,0.0799999982118607,0.0800999999046326,0.0813999995589256,0.0850000008940697,0.0925000011920929,0.103799998760223,0.114600002765656,0.120399996638298,0.11879999935627
E9,0.0807999968528748,0.0810000002384186,0.0813999995589256,0.0825000032782555,0.0843999981880188,0.0869999974966049,0.0898000001907349,0.0929000005126,0.0961000025272369
E10,0.0808999985456467,0.0810000002384186,0.0815000012516975,0.0822999998927116,0.0835999995470047,0.0851000025868416,0.0865999981760979,0.088299997150898,0.089699998497963
E11,0.0800999999046326,0.0803000032901764,0.0807999968528748,0.0819000005722046,0.0829999968409538,0.0842000022530556,0.0854000002145767,0.086499996483326,0.087399996817112
F2,0.170000001788139,0.164299994707108,0.16159999370575,0.160400003194809,0.163000002503395,0.168699994683266,0.17849999666214,0.193599998950958,0.215299993753433
