"","time","well","iptg","strain","rbs","temp","OD660","fluor","mCherry","GFP","gfp_norm","mch_norm","lnOD660","experiment","groupID","gfp_expression","mch_expression","growthrate","tgt_fluor","tgt_expression"
"1221",39600,"D11",0.01875,"GFP25","R2",37.1666666666667,0.929139982908964,"GFP",1.5,2242.3,2413.30697337959,1.61439613792507,-0.0734958702397501,1,"1 GFP25 R2",-56355.0581133024,2331.93343917113,0.004584613733713,2242.3,-56355.0581133024
"1222",40500,"D11",0.01875,"GFP25","R2",37.1333333333333,0.930569975823164,"GFP",2.3,2263.1,2431.95037320875,2.4716034900712,-0.0719580033381751,1,"1 GFP25 R2",-47746.0786459542,-4658.15401423937,0.00527947743423735,2263.1,-47746.0786459542
"1223",41400,"D11",0.01875,"GFP25","R2",37.1,0.931540024280548,"GFP",1,2246.1,2411.16853968215,1.07349118012651,-0.070916122305282,1,"1 GFP25 R2",-12793.7279333005,-9692.21813128774,0.00597566933369718,2246.1,-12793.7279333005
"1224",42300,"D11",0.01875,"GFP25","R2",37.1666666666667,0.929799964278936,"GFP",1.9,2263.8,2434.7172370087,2.04345028285031,-0.0727858081436612,1,"1 GFP25 R2",11621.1255809083,-5810.56279045416,0.0044624589531654,2263.8,11621.1255809083
"1225",43200,"D11",0.01875,"GFP25","R2",37.1666666666667,0.92837996929884,"GFP",4.1,2245.2,2418.40633603468,4.41629519764039,-0.0743141803221069,1,"1 GFP25 R2",11227.1828883213,10065.7501757376,-0.000818310082356832,2245.2,11227.1828883213
"1226",0,"E2",0.01875,"MCH75","R0.25",37.1333333333333,0.0248600028455257,"mCherry",227,1.90000000000001,76.4279880338777,9131.13330720536,-3.69449507843756,1,"1 MCH75 R0.25",NA,NA,NA,227,NA
"1227",900,"E2",0.01875,"MCH75","R0.25",37.1333333333333,0.0260999992489815,"mCherry",197.5,1.90000000000001,72.7969369606074,7567.05002616838,-3.64581999342815,1,"1 MCH75 R0.25",NA,NA,NA,197.5,NA
"1228",1800,"E2",0.01875,"MCH75","R0.25",37.1,0.0348100006580353,"mCherry",195.8,0.599999999999994,17.2364259884464,5624.82034756305,-3.35785055825516,1,"1 MCH75 R0.25",NA,NA,NA,195.8,NA
"1229",2700,"E2",0.01875,"MCH75","R0.25",37.0666666666667,0.0494500018656254,"mCherry",196.2,2.09999999999999,42.4671369215819,3967.64393524495,-3.00679318318591,1,"1 MCH75 R0.25",NA,NA,NA,196.2,NA
"1230",3600,"E2",0.01875,"MCH75","R0.25",37.2,0.0710899941623211,"mCherry",206.9,2,28.1333543991207,2910.39551258904,-2.64380868115749,1,"1 MCH75 R0.25",8724.73467422717,-1753671.66951976,1.05068639728007,206.9,-1753671.66951976
